# gunzip -c exp/tri2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Apr 22 00:29:18 UTC 2017
#
At utterance begin, SIL accounts for 88.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,25.4,69) frames.
At utterance begin, nonsilence accounts for 11.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,24) frames.
At utterance begin, r_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.1,37) frames.
At utterance begin, uu_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,18) frames.
At utterance begin, DH_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,14) frames.
At utterance begin, S_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.0,22) frames.
At utterance begin, B_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,19) frames.
At utterance begin, n_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,17) frames.
At utterance end, SIL accounts for 84.5% of phone occurrences, with duration (median, mean, 95-percentile) is (21,29.1,76) frames.
At utterance end, nonsilence accounts for 15.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.1,37) frames.
At utterance end, a5_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.1,36) frames.
At utterance end, T_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,17) frames.
At utterance end, i4_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.1,33) frames.
At utterance end, N_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.9,26) frames.
At utterance end, e5_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.6,45) frames.
At utterance end, S_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.2,30) frames.
At utterance end, sil_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (22,26.9,64) frames.
At utterance end, <oov>_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (23,24.4,52) frames.
At utterance end, Z_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.1,31) frames.
Overall, nonsilence accounts for 90.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,20) frames.
Overall, SIL accounts for 9.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,27.1,80) frames.
Overall, d_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, ii_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,13) frames.
Overall, T_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,10) frames.
Overall, AH0_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,12) frames.
Overall, N_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,13) frames.
Overall, uu_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,16) frames.
Overall, j_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, n_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, <oov>_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.4,46) frames.
Overall, EH1_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,16) frames.
Overall, i4_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.7,26) frames.
Overall, N_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,22) frames.
Overall, sh_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,19) frames.
Overall, R_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,9) frames.
Overall, h_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,17) frames.
Overall, T_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,14) frames.
Overall, DH_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, t_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,15) frames.
Overall, uo3_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,18) frames.
Overall, i3_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,23) frames.
Overall, S_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,19) frames.
Overall, e5_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.1,31) frames.
Overall, ii_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,13) frames.
Overall, ix4_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.2,31) frames.
Overall, b_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,13) frames.
Overall, L_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.3,11) frames.
Overall, IH1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,11) frames.
Overall, g_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,13) frames.
Overall, sh_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,16) frames.
Overall, AH1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
Overall, zh_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,13) frames.
Overall, K_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,15) frames.
Overall, AE1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
Overall, l_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,17) frames.
Overall, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, a5_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.0,32) frames.
Overall, m_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, S_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,17) frames.
Overall, iu3_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.3,29) frames.
Overall, AY1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,22) frames.
Overall, S_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,23) frames.
Overall, m_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,14) frames.
Overall, IH0_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,10) frames.
Overall, a1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,20) frames.
